timestamp,voltage,current,power,flow_rate,spindle_temp,vibration_rms,vibration_x_rms,vibration_y_rms,vibration_z_rms,motor_current,ground_present,cycle_count
2025-09-10 09:00:00,219.43,8.72,1913.91,2.82,48.04,0.316,0.265,0.282,0.329,3.34,1,1
2025-09-10 09:05:00,228.02,8.60,1961.92,2.63,45.64,0.439,0.504,0.485,0.379,3.13,1,2
2025-09-10 09:10:00,221.89,7.15,1585.61,3.15,39.74,0.490,0.462,0.459,0.444,2.57,1,3
2025-09-10 09:15:00,224.43,6.87,1542.85,3.38,39.34,0.447,0.470,0.515,0.422,2.79,1,4
2025-09-10 09:20:00,218.97,8.48,1857.73,3.16,54.75,0.728,0.834,0.693,0.714,3.75,1,5
2025-09-10 09:25:00,220.28,7.57,1666.58,3.01,49.93,0.642,0.532,0.676,0.651,2.87,1,6
2025-09-10 09:30:00,224.47,7.31,1640.85,3.39,49.70,0.410,0.381,0.454,0.337,3.73,1,7
2025-09-10 09:35:00,229.27,7.70,1766.19,2.10,53.52,0.584,0.634,0.517,0.583,3.83,1,8
2025-09-10 09:40:00,227.00,6.93,1572.80,2.21,50.66,0.569,0.626,0.553,0.589,3.04,1,9
2025-09-10 09:45:00,231.96,6.91,1604.02,2.74,50.85,0.731,0.629,0.631,0.783,3.39,1,10
2025-09-10 09:50:00,223.39,8.29,1851.35,2.70,42.27,0.577,0.679,0.618,0.488,3.83,1,11
2025-09-10 09:55:00,228.51,8.81,2012.23,2.51,42.99,0.379,0.304,0.413,0.412,3.96,1,12
2025-09-10 10:00:00,228.67,8.02,1834.61,2.16,48.63,0.721,0.723,0.634,0.684,2.74,1,13
2025-09-10 10:05:00,231.35,9.27,2143.98,3.38,48.18,0.544,0.460,0.514,0.650,3.71,1,14
2025-09-10 10:10:00,221.35,7.22,1598.74,2.85,39.34,0.666,0.750,0.793,0.675,2.69,1,15
2025-09-10 10:15:00,227.24,9.34,2122.51,2.25,46.97,0.603,0.715,0.707,0.665,3.53,1,16
2025-09-10 10:20:00,227.98,7.70,1754.77,3.01,44.35,0.750,0.735,0.674,0.619,2.53,1,17
2025-09-10 10:25:00,225.75,8.27,1865.94,2.01,50.03,0.329,0.272,0.268,0.307,3.27,1,18
2025-09-10 10:30:00,221.90,7.96,1765.48,2.81,50.30,0.741,0.764,0.665,0.733,3.11,1,19
2025-09-10 10:35:00,219.32,8.48,1859.17,2.53,44.99,0.732,0.601,0.777,0.775,2.59,1,20
2025-09-10 10:40:00,228.19,8.90,2031.34,2.16,41.26,0.568,0.486,0.496,0.560,3.81,1,21
2025-09-10 10:45:00,219.06,8.92,1954.86,3.28,39.66,0.626,0.636,0.505,0.524,3.63,1,22
2025-09-10 10:50:00,221.31,7.72,1708.34,2.72,52.70,0.751,0.650,0.602,0.718,3.89,1,23
2025-09-10 10:55:00,228.99,7.36,1684.41,3.04,50.42,0.692,0.736,0.688,0.606,2.83,1,24
2025-09-10 11:00:00,218.82,8.71,1905.30,2.09,43.33,0.325,0.322,0.380,0.329,2.59,1,25
2025-09-10 11:05:00,225.11,9.05,2038.15,2.10,39.16,0.731,0.703,0.860,0.751,3.37,1,26
2025-09-10 11:10:00,218.56,6.75,1474.37,2.99,47.61,0.458,0.414,0.489,0.424,2.90,1,27
2025-09-10 11:15:00,219.83,8.44,1854.62,2.69,53.79,0.768,0.617,0.805,0.787,2.65,1,28
2025-09-10 11:20:00,225.53,8.02,1808.20,2.20,43.93,0.334,0.300,0.306,0.326,3.31,1,29
2025-09-10 11:25:00,222.24,9.45,2100.47,3.21,46.99,0.634,0.648,0.743,0.533,3.82,1,30
2025-09-10 11:30:00,221.70,9.17,2032.82,3.11,40.64,0.441,0.390,0.413,0.474,3.78,1,31
2025-09-10 11:35:00,225.08,7.25,1632.56,3.36,38.86,0.617,0.698,0.505,0.576,2.70,1,32
